run_id,framework,experiment,model,dataset,record_type,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,18,3844.571421146393,0.82391,0.474,0.82946,0.85592,0.81719,0.87383,0.64685,0.7838,0.44724,0.81899,0.0006928061,0.0006928061,0.0006928061
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,19,3970.618450164795,0.81353,0.4701,0.82846,0.85909,0.80973,0.87161,0.64147,0.79545,0.45235,0.82048,0.0006845594000000001,0.0006845594000000001,0.0006845594000000001
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,20,4206.006576538086,0.81333,0.46729,0.82773,0.85636,0.82627,0.8825,0.65115,0.78605,0.45059,0.81925,0.0006763127,0.0006763127,0.0006763127
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,21,4328.3488483428955,0.81104,0.46857,0.82684,0.85893,0.81481,0.87668,0.64942,0.77938,0.44361,0.81811,0.000668066,0.000668066,0.000668066
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,22,4539.034971237183,0.80683,0.46331,0.82654,0.85405,0.82642,0.87879,0.65341,0.77561,0.44208,0.81771,0.0006598193,0.0006598193,0.0006598193
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,23,4665.597552776337,0.80268,0.46011,0.82541,0.86471,0.81221,0.88145,0.65359,0.7837,0.44579,0.81849,0.0006515726,0.0006515726,0.0006515726
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,24,4787.0756759643555,0.80234,0.46188,0.82659,0.8493,0.82827,0.88031,0.65262,0.78266,0.44253,0.81746,0.0006433259,0.0006433259,0.0006433259
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,25,4914.812337875366,0.79696,0.4549,0.82487,0.85236,0.82359,0.8812,0.6539,0.78236,0.44212,0.81836,0.0006350791999999999,0.0006350791999999999,0.0006350791999999999
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,26,5746.832211732864,0.79098,0.45134,0.82411,0.86664,0.82291,0.88239,0.66027,0.76581,0.43434,0.81583,0.0006268325,0.0006268325,0.0006268325
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,27,5879.946186304092,0.79305,0.45203,0.82336,0.85846,0.82977,0.88498,0.66451,0.76787,0.43297,0.81609,0.0006185858,0.0006185858,0.0006185858
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,28,6005.570474147797,0.79624,0.45644,0.82536,0.863,0.82717,0.88519,0.66474,0.76206,0.434,0.81587,0.0006103391,0.0006103391,0.0006103391
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,29,6134.377110481262,0.78745,0.44945,0.82327,0.86218,0.83349,0.88481,0.6637,0.76477,0.43079,0.81691,0.0006020924,0.0006020924,0.0006020924
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,30,6258.796302318573,0.78519,0.44707,0.82272,0.86669,0.81702,0.88139,0.66086,0.77012,0.43162,0.81741,0.0005938457,0.0005938457,0.0005938457
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,31,6526.119841337204,0.78268,0.44474,0.82226,0.86145,0.83153,0.88931,0.67203,0.7536,0.42097,0.81467,0.0005855989999999999,0.0005855989999999999,0.0005855989999999999
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,32,6665.015467882156,0.77842,0.44392,0.82175,0.87051,0.82185,0.88528,0.66664,0.75936,0.42584,0.81498,0.0005773522999999999,0.0005773522999999999,0.0005773522999999999
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,33,6799.658646583557,0.7783,0.44223,0.82171,0.86521,0.821,0.88496,0.66373,0.76601,0.43388,0.81598,0.0005691056,0.0005691056,0.0005691056
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,34,6924.138649463654,0.77483,0.44027,0.82148,0.86705,0.83136,0.88719,0.66752,0.75172,0.42404,0.81311,0.0005608588999999999,0.0005608588999999999,0.0005608588999999999
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,35,7389.996407985687,0.77197,0.43583,0.82088,0.86785,0.83051,0.88701,0.66664,0.75583,0.42359,0.8139,0.0005526121999999999,0.0005526121999999999,0.0005526121999999999
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,36,7514.754385471344,0.77176,0.43833,0.82045,0.85571,0.84022,0.89021,0.67175,0.75129,0.42188,0.81305,0.0005443655,0.0005443655,0.0005443655
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,37,7700.902233362198,0.77043,0.4364,0.82027,0.85081,0.84041,0.88698,0.66525,0.75847,0.42678,0.81504,0.0005361188,0.0005361188,0.0005361188
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,38,7843.7697167396545,0.77248,0.43634,0.82067,0.86422,0.83314,0.8893,0.6731,0.75215,0.42415,0.81313,0.0005278721,0.0005278721,0.0005278721
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,39,7985.289398193359,0.76776,0.43663,0.8201,0.85636,0.83614,0.88514,0.66964,0.7518,0.42442,0.81307,0.0005196254,0.0005196254,0.0005196254
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,40,8111.300219297409,0.76535,0.4325,0.8184,0.86467,0.83274,0.89046,0.67309,0.74706,0.41726,0.81319,0.0005113787,0.0005113787,0.0005113787
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,41,8318.020432472229,0.76595,0.4316,0.8205,0.86746,0.83288,0.88699,0.66967,0.74616,0.42026,0.81304,0.000503132,0.000503132,0.000503132
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,42,8480.38425540924,0.76196,0.42845,0.81887,0.86542,0.83151,0.88725,0.67211,0.75071,0.41851,0.81344,0.0004948853,0.0004948853,0.0004948853
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,43,8626.354862213135,0.75857,0.42701,0.81874,0.86834,0.83335,0.88874,0.67482,0.74021,0.41524,0.81216,0.00048663860000000005,0.00048663860000000005,0.00048663860000000005
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,44,8771.761604309082,0.76009,0.42809,0.81814,0.86784,0.82788,0.88842,0.67381,0.7426,0.41498,0.81224,0.00047839190000000003,0.00047839190000000003,0.00047839190000000003
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,45,8898.204598426819,0.75314,0.42282,0.81693,0.85863,0.84104,0.89282,0.67828,0.73939,0.4123,0.81193,0.0004701452,0.0004701452,0.0004701452
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,46,9035.923913955688,0.75169,0.42055,0.81781,0.85985,0.84006,0.8874,0.67427,0.74044,0.41275,0.81156,0.0004618985,0.0004618985,0.0004618985
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,47,9480.531605005264,0.75267,0.42276,0.81646,0.86673,0.83179,0.89296,0.67809,0.74198,0.41173,0.81263,0.00045365180000000007,0.00045365180000000007,0.00045365180000000007
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,48,9626.64844250679,0.75217,0.42211,0.81789,0.87324,0.83197,0.89195,0.67911,0.73607,0.41302,0.81167,0.00044540510000000004,0.00044540510000000004,0.00044540510000000004
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,49,9772.123160123825,0.75084,0.42038,0.81741,0.86938,0.83791,0.89398,0.67939,0.73305,0.40795,0.81092,0.0004371584,0.0004371584,0.0004371584
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,50,9896.25226688385,0.7482,0.41854,0.81704,0.87411,0.83209,0.89361,0.68039,0.7352,0.40864,0.81138,0.0004289117,0.0004289117,0.0004289117
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,51,10046.158982515335,0.74586,0.41585,0.81634,0.86816,0.83433,0.89286,0.68225,0.73237,0.40686,0.81114,0.00042066499999999997,0.00042066499999999997,0.00042066499999999997
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,52,10173.088762760162,0.74275,0.4136,0.81637,0.86501,0.83826,0.89237,0.68027,0.73391,0.40822,0.81104,0.00041241829999999995,0.00041241829999999995,0.00041241829999999995
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,53,10696.82184767723,0.74025,0.41283,0.81535,0.87163,0.834,0.8922,0.67975,0.73075,0.4046,0.81085,0.0004041716,0.0004041716,0.0004041716
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,54,11038.81377005577,0.74348,0.41376,0.81627,0.87659,0.82786,0.8894,0.67868,0.7296,0.407,0.81052,0.0003959249,0.0003959249,0.0003959249
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,55,11175.251869916916,0.7391,0.41015,0.81468,0.86722,0.84112,0.89178,0.68084,0.72881,0.40279,0.81046,0.0003876782,0.0003876782,0.0003876782
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,56,11296.170206069946,0.73796,0.41061,0.81534,0.87168,0.83338,0.89323,0.68061,0.72986,0.40207,0.8109,0.00037943149999999996,0.00037943149999999996,0.00037943149999999996
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,57,11531.579265594482,0.7384,0.40872,0.81506,0.86656,0.84293,0.89089,0.68083,0.72769,0.40112,0.81026,0.00037118479999999994,0.00037118479999999994,0.00037118479999999994
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,58,11694.31490278244,0.7321,0.40495,0.81435,0.86843,0.8406,0.89496,0.6819,0.72768,0.4019,0.81045,0.0003629381,0.0003629381,0.0003629381
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,59,11906.993361234665,0.73327,0.40652,0.81468,0.87325,0.83583,0.89364,0.68191,0.72738,0.40105,0.81041,0.00035469140000000005,0.00035469140000000005,0.00035469140000000005
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,60,12079.310378313065,0.73564,0.40789,0.81457,0.8665,0.84281,0.89318,0.68258,0.72726,0.40098,0.80992,0.00034644470000000003,0.00034644470000000003,0.00034644470000000003
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,61,12199.891844511032,0.73078,0.40592,0.81344,0.87314,0.83721,0.89219,0.68293,0.72277,0.39782,0.80959,0.000338198,0.000338198,0.000338198
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,62,12335.197996139526,0.72896,0.40265,0.81425,0.86233,0.84574,0.89367,0.68433,0.72191,0.3996,0.80965,0.0003299513,0.0003299513,0.0003299513
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,63,12459.002295732498,0.7255,0.40086,0.81291,0.86661,0.84691,0.8913,0.68231,0.72372,0.39819,0.80965,0.00032170459999999996,0.00032170459999999996,0.00032170459999999996
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,64,12607.865756750107,0.7276,0.40109,0.8132,0.86362,0.84142,0.89516,0.68471,0.72505,0.39921,0.80962,0.0003134579,0.0003134579,0.0003134579
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,65,12728.310824155807,0.72359,0.39832,0.81373,0.8687,0.83965,0.88929,0.68082,0.72424,0.40017,0.81025,0.0003052112,0.0003052112,0.0003052112
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,66,13029.543861150742,0.72504,0.39992,0.81349,0.85874,0.85172,0.89321,0.68456,0.72057,0.39622,0.80986,0.0002969645,0.0002969645,0.0002969645
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,67,13151.141870737076,0.72158,0.3951,0.8121,0.86811,0.84605,0.89416,0.68574,0.72144,0.39658,0.80937,0.00028871779999999997,0.00028871779999999997,0.00028871779999999997
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,68,13483.631258010864,0.71951,0.3954,0.81188,0.87703,0.83388,0.89308,0.6853,0.71938,0.39681,0.80913,0.00028047109999999994,0.00028047109999999994,0.00028047109999999994
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,69,13624.334815502167,0.71875,0.39376,0.81225,0.87205,0.83714,0.89385,0.68625,0.71934,0.39716,0.80931,0.0002722244,0.0002722244,0.0002722244
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,70,13755.850393295288,0.71593,0.39164,0.81161,0.86479,0.84462,0.89402,0.68642,0.71774,0.39583,0.80899,0.00026397770000000006,0.00026397770000000006,0.00026397770000000006
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,71,14043.540650367737,0.71823,0.39386,0.81187,0.86282,0.84642,0.89301,0.68515,0.71758,0.3942,0.80899,0.00025573100000000004,0.00025573100000000004,0.00025573100000000004
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,72,14167.277091026306,0.71512,0.38967,0.81126,0.86135,0.8535,0.89723,0.68857,0.7164,0.39464,0.80891,0.0002474843,0.0002474843,0.0002474843
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,73,14303.32242012024,0.71156,0.38865,0.81064,0.87157,0.84576,0.89543,0.68915,0.71548,0.39359,0.80875,0.0002392376,0.0002392376,0.0002392376
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,74,14644.447024345398,0.71263,0.38995,0.81117,0.87081,0.84649,0.89478,0.68933,0.71559,0.39347,0.80874,0.00023099090000000002,0.00023099090000000002,0.00023099090000000002
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,75,14770.406812667847,0.7101,0.3869,0.81012,0.86422,0.84588,0.89441,0.68898,0.71691,0.39303,0.8086,0.00022274420000000002,0.00022274420000000002,0.00022274420000000002
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,76,15147.585693359375,0.70963,0.38574,0.81088,0.8652,0.84645,0.89646,0.69136,0.71648,0.39271,0.80866,0.0002144975,0.0002144975,0.0002144975
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,77,15270.021473169327,0.70633,0.38503,0.81084,0.86878,0.84498,0.89478,0.69067,0.71522,0.39281,0.80846,0.00020625079999999997,0.00020625079999999997,0.00020625079999999997
